celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB,215,3,0.00143881450125061,0.0491298569584337
B cell | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,B cell,50,2,0.00149369510099709,0.049882850680551
HBA_CD56+_NKCells | Human | SaVanT,SaVanT,Human,,HBA_CD56+_NKCells,50,2,0.00149369510099709,0.049882850680551
Goblet cell | Small intestine | Mouse | CellMarker,CellMarker,Mouse,Small intestine,Goblet cell,55,2,0.00171680057326929,0.0567104015452757
MANNO_MIDBRAIN_NEUROTYPES_BASAL | Human | MSigDB,MSigDB,Human,,MANNO_MIDBRAIN_NEUROTYPES_BASAL,61,2,0.00183395275888305,0.0599288433789847
Plasma cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Plasma cells,63,2,0.001954818962856,0.0631988811502061
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA,243,3,0.00205413260564282,0.0657106209320898
Plasmacytoid dendritic cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Plasmacytoid dendritic cell,251,3,0.00212578733864042,0.0671415693362486
AIZARANI_LIVER_C28_NK_NKT_CELLS_6 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C28_NK_NKT_CELLS_6,66,2,0.00214305107785986,0.0671415693362486
LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB,256,3,0.00232447345971344,0.0720823963680525
GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS | Human | MSigDB,MSigDB,Human,,GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS,260,3,0.00237589319701535,0.0729327214720165
T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T cells,70,2,0.00247514121908949,0.0752195416481297
KIDNEY (BULK TISSUE) | ARCHS4,ARCHS4,,,KIDNEY (BULK TISSUE),1442,6,0.00254069955945866,0.0758051416049371
T cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T cells,69,2,0.0025442989284974,0.0758051416049371
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,266,3,0.00264365634045587,0.0780006953266543
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS,74,2,0.00268534002435604,0.0784687339809423
ZHENG_CORD_BLOOD_C2_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C2_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR,76,2,0.0028300037242068,0.0819083935034711
HU_FETAL_RETINA_MICROGLIA | Human | MSigDB,MSigDB,Human,,HU_FETAL_RETINA_MICROGLIA,274,3,0.00290009530253894,0.0831451851359986
Pancreas | Human | TISSUES,TISSUES,Human,,Pancreas,598,4,0.00299516284894478,0.0850682233452636
Paneth cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Paneth cell,241,3,0.00320257708642535,0.0901169607930245
HAY_BONE_MARROW_NAIVE_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NAIVE_T_CELL,293,3,0.0033608658377783,0.0937034062477821
Platelets | Blood | Mouse | PanglaoDB,PanglaoDB,Mouse,Blood,Platelets,89,2,0.00385766038420949,0.106576635523751
Smooth muscle_HPCA_3 | Human | xCell,xCell,Human,,Smooth muscle_HPCA_3,95,2,0.00438233837396336,0.119981318184456
ZHONG_PFC_MAJOR_TYPES_MICROGLIA | Human | MSigDB,MSigDB,Human,,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,323,3,0.00452722184095807,0.122748854511722
Platelets | Blood | Human | PanglaoDB,PanglaoDB,Human,Blood,Platelets,95,2,0.00456420551491432,0.122748854511722
Lung | Human | TISSUES,TISSUES,Human,,Lung,1616,6,0.00475603790317499,0.12678595778727
Prostate gland | Human | TISSUES,TISSUES,Human,,Prostate gland,330,3,0.00484269718100567,0.12687031666445
Prostate gland epithelium | Human | TISSUES,TISSUES,Human,,Prostate gland epithelium,330,3,0.00484269718100567,0.12687031666445
Preadipocytes_ENCODE_3 | Human | xCell,xCell,Human,,Preadipocytes_ENCODE_3,102,2,0.00513054068747739,0.133262505549092
Microglial cell | Embryonic prefrontal cortex | Human | CellMarker,CellMarker,Human,Embryonic prefrontal cortex,Microglial cell,356,3,0.00591389123543902,0.152307758173722
Natural killer cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Natural killer cell,6,1,0.00630105289817207,0.159574164646208
Plasma cells_BLUEPRINT_1 | Human | xCell,xCell,Human,,Plasma cells_BLUEPRINT_1,6,1,0.00630105289817207,0.159574164646208
Decidual cells | Reproductive | Human | PanglaoDB,PanglaoDB,Human,Reproductive,Decidual cells,7,1,0.00734760260549383,0.181539547301591
Decidual cells | Reproductive | Mouse | PanglaoDB,PanglaoDB,Mouse,Reproductive,Decidual cells,7,1,0.00734760260549383,0.181539547301591
Natural killer T (NKT) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Natural killer T (NKT) cell,7,1,0.00734760260549383,0.181539547301591
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,114,2,0.00805523431921955,0.195838856768866
Transit amplifying (TA) cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Transit amplifying (TA) cell,106,2,0.00805523431921955,0.195838856768866
CD4+ Tem_NOVERSHTERN_2 | Human | xCell,xCell,Human,,CD4+ Tem_NOVERSHTERN_2,8,1,0.00839311892162264,0.199271003146963
CD4+ Tem_NOVERSHTERN_3 | Human | xCell,xCell,Human,,CD4+ Tem_NOVERSHTERN_3,8,1,0.00839311892162264,0.199271003146963
M1 macrophage | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,M1 macrophage,8,1,0.00839311892162264,0.199271003146963
Myocytes_ENCODE_3 | Human | xCell,xCell,Human,,Myocytes_ENCODE_3,131,2,0.00891135833294806,0.209935023052939
MANNO_MIDBRAIN_NEUROTYPES_HMGL | Human | MSigDB,MSigDB,Human,,MANNO_MIDBRAIN_NEUROTYPES_HMGL,422,3,0.0091531582743779,0.213972676891034
Lens | Mouse | TISSUES,TISSUES,Mouse,,Lens,9,1,0.0104810551892234,0.240173860975516
Plasma cells_HPCA_3 | Human | xCell,xCell,Human,,Plasma cells_HPCA_3,10,1,0.0104810551892234,0.240173860975516
Embryonic fibroblast | Mouse | TISSUES,TISSUES,Mouse,,Embryonic fibroblast,786,4,0.0105110640045224,0.240173860975516
Respiratory system | Human | TISSUES,TISSUES,Human,,Respiratory system,1912,6,0.0112712238993196,0.255621264403227
Uterus | Human | TISSUES,TISSUES,Human,,Uterus,1366,5,0.0114956187530863,0.258779151041699
Fibroblast | Mouse | TISSUES,TISSUES,Mouse,,Fibroblast,816,4,0.0120216224982584,0.268630226266231
Natural killer cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Natural killer cell,12,1,0.0125648693106711,0.276700274167606
Plasma cells_IRIS_3 | Human | xCell,xCell,Human,,Plasma cells_IRIS_3,12,1,0.0125648693106711,0.276700274167606
Brain cortex cell line | Human | TISSUES,TISSUES,Human,,Brain cortex cell line,168,2,0.0131666363724997,0.287866244144077
Brain cell line | Human | TISSUES,TISSUES,Human,,Brain cell line,169,2,0.0133161767585655,0.289056151209146
Eosinophils | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Eosinophils,13,1,0.0136052329410568,0.291171147238532
Plasma cells_HPCA_1 | Human | xCell,xCell,Human,,Plasma cells_HPCA_1,13,1,0.0136052329410568,0.291171147238532
FAN_EMBRYONIC_CTX_MICROGLIA_3 | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_MICROGLIA_3,15,1,0.0156828780829745,0.333288576882235
AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3,16,1,0.0167201614888012,0.350431522513564
Epithelial cell | Lacrimal gland | Mouse | CellMarker,CellMarker,Mouse,Lacrimal gland,Epithelial cell,14,1,0.0167201614888012,0.350431522513564
Epithelium | Human | TISSUES,TISSUES,Human,,Epithelium,525,3,0.0170846345512516,0.355617838364751
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS,17,1,0.0177564200460519,0.359745070133012
Lymphocyte | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Lymphocyte,16,1,0.0177564200460519,0.359745070133012
Natural killer T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Natural killer T cells,17,1,0.0177564200460519,0.359745070133012
Natural killer T cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Natural killer T cells,17,1,0.0177564200460519,0.359745070133012
CD8+ T-cells_HPCA_3 | Human | xCell,xCell,Human,,CD8+ T-cells_HPCA_3,18,1,0.019825866394498,0.396386894558418
Eosinophils | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Eosinophils,18,1,0.019825866394498,0.396386894558418
HAY_BONE_MARROW_CD34_POS_GRAN | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_CD34_POS_GRAN,22,1,0.0239525024395982,0.472673083856747
Plasma cells_HPCA_2 | Human | xCell,xCell,Human,,Plasma cells_HPCA_2,23,1,0.0239525024395982,0.472673083856747
AIZARANI_LIVER_C22_RESIDENT_B_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C22_RESIDENT_B_CELLS_2,24,1,0.0249816134749173,0.483561295224674
T helper cell | Human | CellMarker,CellMarker,Human,,T helper cell,24,1,0.0249816134749173,0.483561295224674
T helper17 (Th17) cell | Human | CellMarker,CellMarker,Human,,T helper17 (Th17) cell,24,1,0.0249816134749173,0.483561295224674
Acute myeloid leukemia cell | Human | TISSUES,TISSUES,Human,,Acute myeloid leukemia cell,25,1,0.0260097071999997,0.49164670660999
Acute promyelocytic leukemia cell | Human | TISSUES,TISSUES,Human,,Acute promyelocytic leukemia cell,25,1,0.0260097071999997,0.49164670660999
Platelet | Blood | Human | CellMarker,CellMarker,Human,Blood,Platelet,25,1,0.0260097071999997,0.49164670660999
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA,239,2,0.0261610804394374,0.49164670660999
CD4+ Tem_NOVERSHTERN_1 | Human | xCell,xCell,Human,,CD4+ Tem_NOVERSHTERN_1,26,1,0.0270367845535096,0.49164670660999
Monocyte | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Monocyte,26,1,0.0270367845535096,0.49164670660999
Plasma cells_IRIS_2 | Human | xCell,xCell,Human,,Plasma cells_IRIS_2,27,1,0.0280628464733053,0.49164670660999
AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1,28,1,0.029087893896443,0.49164670660999
Lens | Human | TISSUES,TISSUES,Human,,Lens,29,1,0.0301119277591763,0.49164670660999
Lymphoid cell | Human | CellMarker,CellMarker,Human,,Lymphoid cell,32,1,0.0331779573354384,0.49164670660999
Morula cell (Blastomere) | Embryo | Mouse | CellMarker,CellMarker,Mouse,Embryo,Morula cell (Blastomere),29,1,0.0331779573354384,0.49164670660999
CD4+ Tem_HPCA_2 | Human | xCell,xCell,Human,,CD4+ Tem_HPCA_2,33,1,0.034197946303039,0.49164670660999
Leydig cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Leydig cell,277,2,0.0344638274741911,0.49164670660999
Pancreatic cancer cell line | Human | TISSUES,TISSUES,Human,,Pancreatic cancer cell line,32,1,0.0352169263794747,0.49164670660999
Pancreatic cell line | Human | TISSUES,TISSUES,Human,,Pancreatic cell line,32,1,0.0352169263794747,0.49164670660999
