cluster,celltype_full,score,score_rank,db,species,organ,celltype,n_genes
0,MA_Tresting | Human | SaVanT,0.5315673286,59,SaVanT,Human,,MA_Tresting,50
0,CD8+ T-cells_IRIS_2 | Human | xCell,0.5310830643,60,xCell,Human,,CD8+ T-cells_IRIS_2,7
0,Adipocyte progenitor cells | Connective tissue | Human | PanglaoDB,0.5306463337,61,PanglaoDB,Human,Connective tissue,Adipocyte progenitor cells,7
0,Adipocyte progenitor cells | Connective tissue | Mouse | PanglaoDB,0.5306463337,62,PanglaoDB,Mouse,Connective tissue,Adipocyte progenitor cells,7
0,HPCA_Schwann_cells | Human | SaVanT,0.5289701549,63,SaVanT,Human,,HPCA_Schwann_cells,14
0,HPCA_Bronchial_Epithelial_cells | Human | SaVanT,0.5284919602,64,SaVanT,Human,,HPCA_Bronchial_Epithelial_cells,13
0,Lake et al.Science.Ex6 | Brain | Human | CellMarker,0.5278339958,65,CellMarker,Human,Brain,Lake et al.Science.Ex6,10
0,Pinealocytes | Brain | Human | PanglaoDB,0.5276292948,66,PanglaoDB,Human,Brain,Pinealocytes,12
0,Pinealocytes | Brain | Mouse | PanglaoDB,0.5276292948,67,PanglaoDB,Mouse,Brain,Pinealocytes,12
0,Red pulp macrophages | Immune system | Human | PanglaoDB,0.5261862026,68,PanglaoDB,Human,Immune system,Red pulp macrophages,7
0,Red pulp macrophages | Immune system | Mouse | PanglaoDB,0.5261862026,69,PanglaoDB,Mouse,Immune system,Red pulp macrophages,7
0,osteoblast_day14 | SaVanT,0.5245985062,70,SaVanT,,,osteoblast_day14,16
0,CD4+ naive T-cells_NOVERSHTERN_2 | Human | xCell,0.5225243616,71,xCell,Human,,CD4+ naive T-cells_NOVERSHTERN_2,7
0,Cancer stem cell (Lung Cancer) | Lung | Mouse | CellMarker,0.5202062088,72,CellMarker,Mouse,Lung,Cancer stem cell (Lung Cancer),5
0,B cell | Bone marrow | Human | CellMarker,0.5168511886,73,CellMarker,Human,Bone marrow,B cell,6
0,IMGN_T_4FP3-_Sp | Mouse | SaVanT,0.5154801162,74,SaVanT,Mouse,,IMGN_T_4FP3-_Sp,45
0,HBA_Placenta | Human | SaVanT,0.5154471998,75,SaVanT,Human,,HBA_Placenta,14
0,Acinar cells | Pancreas | Human | PanglaoDB,0.5152013848,76,PanglaoDB,Human,Pancreas,Acinar cells,10
0,kidney | SaVanT,0.5127353574,77,SaVanT,,,kidney,21
0,Fibrobast | SaVanT,0.5122244651,78,SaVanT,,,Fibrobast,9
0,HBA_pineal_day | Human | SaVanT,0.5113139426,79,SaVanT,Human,,HBA_pineal_day,22
0,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_HORIZONTAL_BASAL_CELLS | Human | MSigDB,0.5106199852,80,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_HORIZONTAL_BASAL_CELLS,5
0,M2 macrophage | Bone marrow | Mouse | CellMarker,0.5052035261,81,CellMarker,Mouse,Bone marrow,M2 macrophage,5
0,ZHONG_PFC_C3_UNKNOWN_INP | Human | MSigDB,0.5043629841,82,MSigDB,Human,,ZHONG_PFC_C3_UNKNOWN_INP,25
0,Neuroblast | Brain | Mouse | CellMarker,0.5015697838,83,CellMarker,Mouse,Brain,Neuroblast,8
0,IMGN_T_4Nve_MLN | Mouse | SaVanT,0.4996641893,84,SaVanT,Mouse,,IMGN_T_4Nve_MLN,45
0,Tregs_HPCA_1 | Human | xCell,0.498302114,85,xCell,Human,,Tregs_HPCA_1,6
0,CD4+ memory T-cells_FANTOM_2 | Human | xCell,0.4976253653,86,xCell,Human,,CD4+ memory T-cells_FANTOM_2,9
0,HBA_Fetalbrain | Human | SaVanT,0.4957121655,87,SaVanT,Human,,HBA_Fetalbrain,22
0,MA_Tconv | Human | SaVanT,0.4954874541,88,SaVanT,Human,,MA_Tconv,50
0,CD4+ Tcm_HPCA_3 | Human | xCell,0.4947524521,89,xCell,Human,,CD4+ Tcm_HPCA_3,22
0,Keratinocyte | SaVanT,0.4940526346,90,SaVanT,,,Keratinocyte,8
0,pituitary | SaVanT,0.4901562714,91,SaVanT,,,pituitary,21
0,CD8+ T cell | Human | CellMarker,0.4898726002,92,CellMarker,Human,,CD8+ T cell,9
0,CD8+ T cell | Mouse | CellMarker,0.4898150866,93,CellMarker,Mouse,,CD8+ T cell,7
0,TLR_2 | SaVanT,0.4879302135,94,SaVanT,,,TLR_2,26
0,HPCA_T_cells_CD4+ | Human | SaVanT,0.4868578647,95,SaVanT,Human,,HPCA_T_cells_CD4+,49
0,olfactory_bulb | SaVanT,0.4867801616,96,SaVanT,,,olfactory_bulb,19
0,MA_iTreg | Human | SaVanT,0.4851501782,97,SaVanT,Human,,MA_iTreg,50
0,Skeletal muscle_FANTOM_2 | Human | xCell,0.4839760827,98,xCell,Human,,Skeletal muscle_FANTOM_2,13
0,intestine_small | SaVanT,0.4838798743,99,SaVanT,,,intestine_small,12
0,MA_Treg | Human | SaVanT,0.4838723648,100,SaVanT,Human,,MA_Treg,50
1,CD8+ T cell | Blood | Human | CellMarker,0.8795185972,1,CellMarker,Human,Blood,CD8+ T cell,5
1,Natural killer T (NKT) cell | Peripheral blood | Human | CellMarker,0.8710559726,2,CellMarker,Human,Peripheral blood,Natural killer T (NKT) cell,7
1,CD8+ Tem_BLUEPRINT_1 | Human | xCell,0.8345350768,3,xCell,Human,,CD8+ Tem_BLUEPRINT_1,7
1,NK cells_NOVERSHTERN_1 | Human | xCell,0.8122211787,4,xCell,Human,,NK cells_NOVERSHTERN_1,6
1,T cell | Blood | Human | CellMarker,0.8058361507,5,CellMarker,Human,Blood,T cell,5
1,CD8+ Tem_NOVERSHTERN_2 | Human | xCell,0.8010921098,6,xCell,Human,,CD8+ Tem_NOVERSHTERN_2,15
1,Adult stem cell | Mouse | TISSUES,0.7913365029,7,TISSUES,Mouse,,Adult stem cell,5
1,CD8+ Tem_NOVERSHTERN_3 | Human | xCell,0.790592147,8,xCell,Human,,CD8+ Tem_NOVERSHTERN_3,17
1,NK cells_NOVERSHTERN_3 | Human | xCell,0.7833871441,9,xCell,Human,,NK cells_NOVERSHTERN_3,8
1,CD8+ Tcm_NOVERSHTERN_3 | Human | xCell,0.7744792715,10,xCell,Human,,CD8+ Tcm_NOVERSHTERN_3,6
1,HAY_BONE_MARROW_CD8_T_CELL | Human | MSigDB,0.7708532473,11,MSigDB,Human,,HAY_BONE_MARROW_CD8_T_CELL,45
1,Mesenchymal stem cell | Human | TISSUES,0.7707643196,12,TISSUES,Human,,Mesenchymal stem cell,6
1,CD8+ Tem_NOVERSHTERN_1 | Human | xCell,0.7591276599,13,xCell,Human,,CD8+ Tem_NOVERSHTERN_1,19
1,Natural killer cell | Blood | Human | CellMarker,0.7570784678,14,CellMarker,Human,Blood,Natural killer cell,6
1,CD8+ T-cells_HPCA_1 | Human | xCell,0.7376266965,15,xCell,Human,,CD8+ T-cells_HPCA_1,8
1,CD8+ T-cells_NOVERSHTERN_2 | Human | xCell,0.7376266965,16,xCell,Human,,CD8+ T-cells_NOVERSHTERN_2,8
1,CD8plus_T-cell | SaVanT,0.735938883,17,SaVanT,,,CD8plus_T-cell,51
1,Immune cell (Ovarian Cancer) | Ovary | Human | CellMarker,0.7355264396,18,CellMarker,Human,Ovary,Immune cell (Ovarian Cancer),5
1,Immune cell | Ovary | Human | CellMarker,0.7355264396,19,CellMarker,Human,Ovary,Immune cell,5
1,Leukocyte | Blood | Human | CellMarker,0.732501683,20,CellMarker,Human,Blood,Leukocyte,6
1,CD8+ Tcm_HPCA_2 | Human | xCell,0.7278332423,21,xCell,Human,,CD8+ Tcm_HPCA_2,8
1,Epidermal cell | Mouse | TISSUES,0.7263702515,22,TISSUES,Mouse,,Epidermal cell,8
1,Exhausted T cell | Human | CellMarker,0.718226343,23,CellMarker,Human,,Exhausted T cell,9
1,CD4+ cytotoxic T cell | Liver | Human | CellMarker,0.7181812225,24,CellMarker,Human,Liver,CD4+ cytotoxic T cell,58
1,CD8+ Tcm_NOVERSHTERN_2 | Human | xCell,0.7134324555,25,xCell,Human,,CD8+ Tcm_NOVERSHTERN_2,17
1,CD8+ cytotoxic T cell | Human | CellMarker,0.7108598182,26,CellMarker,Human,,CD8+ cytotoxic T cell,9
1,CD8+ T-cells_FANTOM_2 | Human | xCell,0.697151153,27,xCell,Human,,CD8+ T-cells_FANTOM_2,9
1,Natural killer cell | Peripheral blood | Human | CellMarker,0.6967241369,28,CellMarker,Human,Peripheral blood,Natural killer cell,12
1,Infiltrated mononuclear cell | Kidney | Human | CellMarker,0.6866176516,29,CellMarker,Human,Kidney,Infiltrated mononuclear cell,5
1,NK cells_NOVERSHTERN_2 | Human | xCell,0.6786661377,30,xCell,Human,,NK cells_NOVERSHTERN_2,7
1,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS | Human | MSigDB,0.6771059819,31,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS,67
1,CD8+ T cell | Peripheral blood | Human | CellMarker,0.6744645601,32,CellMarker,Human,Peripheral blood,CD8+ T cell,5
1,Angiogenic T cell | Blood | Human | CellMarker,0.6711077846,33,CellMarker,Human,Blood,Angiogenic T cell,5
1,Large granular lymphocyte | Human | TISSUES,0.6647467585,34,TISSUES,Human,,Large granular lymphocyte,9
1,Natural killer cell | Human | TISSUES,0.6647467585,35,TISSUES,Human,,Natural killer cell,9
1,Null cell | Human | TISSUES,0.6647467585,36,TISSUES,Human,,Null cell,9
1,Effector CD8+ memory T (Tem) cell | Peripheral blood | Human | CellMarker,0.6635106561,37,CellMarker,Human,Peripheral blood,Effector CD8+ memory T (Tem) cell,54
1,Effector memory T cell | Mouse | CellMarker,0.6632022181,38,CellMarker,Mouse,,Effector memory T cell,5
1,CD8+ Tem_BLUEPRINT_3 | Human | xCell,0.6610888868,39,xCell,Human,,CD8+ Tem_BLUEPRINT_3,44
1,NK cells_HPCA_2 | Human | xCell,0.6547395986,40,xCell,Human,,NK cells_HPCA_2,27
1,AIZARANI_LIVER_C1_NK_NKT_CELLS_1 | Human | MSigDB,0.6538635907,41,MSigDB,Human,,AIZARANI_LIVER_C1_NK_NKT_CELLS_1,112
1,NK cells_FANTOM_3 | Human | xCell,0.6486851374,42,xCell,Human,,NK cells_FANTOM_3,6
1,CD8+ T-cells_IRIS_2 | Human | xCell,0.6393142114,43,xCell,Human,,CD8+ T-cells_IRIS_2,7
1,CD8+ Tem_HPCA_3 | Human | xCell,0.6375035014,44,xCell,Human,,CD8+ Tem_HPCA_3,32
1,T cell (B cell type MALT lymphoma) | Lymphoid tissue | Human | CellMarker,0.6367969895,45,CellMarker,Human,Lymphoid tissue,T cell (B cell type MALT lymphoma),5
1,T cell (Follicular Lymphoma) | Lymph node | Human | CellMarker,0.6367969895,46,CellMarker,Human,Lymph node,T cell (Follicular Lymphoma),5
1,T cell (Melanoma) | Human | CellMarker,0.6367969895,47,CellMarker,Human,,T cell (Melanoma),5
1,T cell | Liver | Mouse | CellMarker,0.6367969895,48,CellMarker,Mouse,Liver,T cell,5
1,T cell | Lymphoid tissue | Human | CellMarker,0.6367969895,49,CellMarker,Human,Lymphoid tissue,T cell,5
1,T cell | Peripheral blood | Mouse | CellMarker,0.6367969895,50,CellMarker,Mouse,Peripheral blood,T cell,5
1,T cell | Peyer patch | Mouse | CellMarker,0.6367969895,51,CellMarker,Mouse,Peyer patch,T cell,5
1,T cell | Thymus | Mouse | CellMarker,0.6367969895,52,CellMarker,Mouse,Thymus,T cell,5
1,T cell | Thyroid | Human | CellMarker,0.6367969895,53,CellMarker,Human,Thyroid,T cell,5
1,NK cells_BLUEPRINT_1 | Human | xCell,0.6169607907,54,xCell,Human,,NK cells_BLUEPRINT_1,9
1,NK cells_IRIS_1 | Human | xCell,0.6169607907,55,xCell,Human,,NK cells_IRIS_1,9
1,Multiple pluripotent progenitor cell | Bone marrow | Mouse | CellMarker,0.6144235327,56,CellMarker,Mouse,Bone marrow,Multiple pluripotent progenitor cell,6
1,Myeloid progenitor cell | Bone marrow | Mouse | CellMarker,0.6144235327,57,CellMarker,Mouse,Bone marrow,Myeloid progenitor cell,6
1,NK cells_FANTOM_2 | Human | xCell,0.6137298708,58,xCell,Human,,NK cells_FANTOM_2,6
1,FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL | Human | MSigDB,0.6131897407,59,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL,104
1,T cell | Lymphoid tissue | Mouse | CellMarker,0.611405766,60,CellMarker,Mouse,Lymphoid tissue,T cell,5
1,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS | Human | MSigDB,0.6109325745,61,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS,51
1,CD8+ T-cells_HPCA_2 | Human | xCell,0.609478612,62,xCell,Human,,CD8+ T-cells_HPCA_2,15
1,8-cell stage cell (Blastomere) | Embryo | Mouse | CellMarker,0.6077011101,63,CellMarker,Mouse,Embryo,8-cell stage cell (Blastomere),7
1,T cell | Lung | Mouse | CellMarker,0.6023532152,64,CellMarker,Mouse,Lung,T cell,7
1,Rheaume et al.Nat Commun.37 | Retina | Mouse | CellMarker,0.5998928782,65,CellMarker,Mouse,Retina,Rheaume et al.Nat Commun.37,5
1,AIZARANI_LIVER_C5_NK_NKT_CELLS_3 | Human | MSigDB,0.5996126815,66,MSigDB,Human,,AIZARANI_LIVER_C5_NK_NKT_CELLS_3,90
1,Spermatocytes | Reproductive | Human | PanglaoDB,0.5986566635,67,PanglaoDB,Human,Reproductive,Spermatocytes,5
1,Spermatocytes | Reproductive | Mouse | PanglaoDB,0.5986566635,68,PanglaoDB,Mouse,Reproductive,Spermatocytes,5
1,T helper1 (Th1) cell | Peripheral blood | Human | CellMarker,0.5980181263,69,CellMarker,Human,Peripheral blood,T helper1 (Th1) cell,6
1,NK cells_HPCA_1 | Human | xCell,0.5953452639,70,xCell,Human,,NK cells_HPCA_1,36
1,CD8+ Tem_HPCA_2 | Human | xCell,0.5927494868,71,xCell,Human,,CD8+ Tem_HPCA_2,110
1,CD8+ T cell | Mouse | CellMarker,0.5921891406,72,CellMarker,Mouse,,CD8+ T cell,7
1,Gamma delta T cells | Immune system | Human | PanglaoDB,0.5885772641,73,PanglaoDB,Human,Immune system,Gamma delta T cells,43
1,NK cells_HPCA_3 | Human | xCell,0.5857181795,74,xCell,Human,,NK cells_HPCA_3,27
1,CD8+ T-cells_IRIS_1 | Human | xCell,0.5836763205,75,xCell,Human,,CD8+ T-cells_IRIS_1,8
1,Cancer stem cell (Lung Cancer) | Lung | Human | CellMarker,0.5831961217,76,CellMarker,Human,Lung,Cancer stem cell (Lung Cancer),5
1,NK cells | Immune system | Mouse | PanglaoDB,0.5797642971,77,PanglaoDB,Mouse,Immune system,NK cells,47
1,IMGN_T_8Eff_Sp_OT1_d6_VSVOva | Mouse | SaVanT,0.5746140905,78,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_VSVOva,48
1,HAY_BONE_MARROW_NK_CELLS | Human | MSigDB,0.5729580074,79,MSigDB,Human,,HAY_BONE_MARROW_NK_CELLS,276
1,IMGN_T_8Eff_Sp_OT1_d8_LisOva | Mouse | SaVanT,0.5721434878,80,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_LisOva,49
1,T cell | Thymus | Human | CellMarker,0.5713619263,81,CellMarker,Human,Thymus,T cell,6
1,NK cells_IRIS_3 | Human | xCell,0.5666599205,82,xCell,Human,,NK cells_IRIS_3,7
1,T cell | Lung | Human | CellMarker,0.5664438124,83,CellMarker,Human,Lung,T cell,6
1,IMGN_T_8Eff_Sp_OT1_d8_VSVOva | Mouse | SaVanT,0.5660035108,84,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_VSVOva,48
1,IMGN_T_8Eff_Sp_OT1_d10_LisOva | Mouse | SaVanT,0.5643898722,85,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d10_LisOva,49
1,CD4+ Tem_BLUEPRINT_3 | Human | xCell,0.5628734909,86,xCell,Human,,CD4+ Tem_BLUEPRINT_3,10
1,IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT,0.5628639796,87,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_LisOva,49
1,Endothelial cell | Bone marrow | Human | CellMarker,0.5623422899,88,CellMarker,Human,Bone marrow,Endothelial cell,9
1,IMGN_T_8Eff_Sp_OT1_d5_VSVOva | Mouse | SaVanT,0.5621942587,89,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d5_VSVOva,49
1,CD8+ Tcm_NOVERSHTERN_1 | Human | xCell,0.5614756847,90,xCell,Human,,CD8+ Tcm_NOVERSHTERN_1,22
1,NK cells_BLUEPRINT_3 | Human | xCell,0.5555170825,91,xCell,Human,,NK cells_BLUEPRINT_3,17
1,IMGN_T_8Eff_Sp_OT1_d15_LisOva | Mouse | SaVanT,0.5542047305,92,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_LisOva,48
1,T cell (AIDS-related Non-hodgkin's Lymphoma) | Human | CellMarker,0.5529957025,93,CellMarker,Human,,T cell (AIDS-related Non-hodgkin's Lymphoma),7
1,NK cells | Immune system | Human | PanglaoDB,0.5501088546,94,PanglaoDB,Human,Immune system,NK cells,55
1,CD8+ Tem_HPCA_1 | Human | xCell,0.549812365,95,xCell,Human,,CD8+ Tem_HPCA_1,121
1,IMGN_NK_49CI+_Sp | Mouse | SaVanT,0.5473759287,96,SaVanT,Mouse,,IMGN_NK_49CI+_Sp,44
1,Arterial smooth muscle | Human | TISSUES,0.5458629311,97,TISSUES,Human,,Arterial smooth muscle,5
1,Gamma delta T cells | Immune system | Mouse | PanglaoDB,0.5451195248,98,PanglaoDB,Mouse,Immune system,Gamma delta T cells,30
1,CD8+ Tem_BLUEPRINT_2 | Human | xCell,0.5436983047,99,xCell,Human,,CD8+ Tem_BLUEPRINT_2,97
1,IMGN_NK_DAP12-_Sp | Mouse | SaVanT,0.5430733294,100,SaVanT,Mouse,,IMGN_NK_DAP12-_Sp,42
10,Tregs_HPCA_2 | Human | xCell,0.7828256148,1,xCell,Human,,Tregs_HPCA_2,5
10,Tregs_HPCA_3 | Human | xCell,0.7828256148,2,xCell,Human,,Tregs_HPCA_3,5
10,CD4+ T cell | Peripheral blood | Human | CellMarker,0.7611081763,3,CellMarker,Human,Peripheral blood,CD4+ T cell,5
10,Tregs_HPCA_1 | Human | xCell,0.7275181968,4,xCell,Human,,Tregs_HPCA_1,6
10,CD4+ memory T-cells_IRIS_1 | Human | xCell,0.7079701894,5,xCell,Human,,CD4+ memory T-cells_IRIS_1,6
10,CD4+ T cell | Mouse | CellMarker,0.7025544841,6,CellMarker,Mouse,,CD4+ T cell,15
10,CD4+ T cell | Human | CellMarker,0.7004989103,7,CellMarker,Human,,CD4+ T cell,13
10,T cell | Peripheral blood | Human | CellMarker,0.6951314007,8,CellMarker,Human,Peripheral blood,T cell,13
10,CD4+ memory T-cells_IRIS_2 | Human | xCell,0.6924464964,9,xCell,Human,,CD4+ memory T-cells_IRIS_2,8
10,T cell | Spleen | Mouse | CellMarker,0.6904327064,10,CellMarker,Mouse,Spleen,T cell,7
10,CD4+ T cell | Blood | Human | CellMarker,0.6903983445,11,CellMarker,Human,Blood,CD4+ T cell,5
10,CD8+ T cell | Peripheral blood | Human | CellMarker,0.6868580149,12,CellMarker,Human,Peripheral blood,CD8+ T cell,5
10,T cell | Lymphoid tissue | Mouse | CellMarker,0.6868479532,13,CellMarker,Mouse,Lymphoid tissue,T cell,5
10,T cell | Liver | Human | CellMarker,0.6839495588,14,CellMarker,Human,Liver,T cell,10
10,T cell | Artery | Human | CellMarker,0.6838971705,15,CellMarker,Human,Artery,T cell,6
10,CD4+CD25+ regulatory T cell | Peripheral blood | Human | CellMarker,0.6816390923,16,CellMarker,Human,Peripheral blood,CD4+CD25+ regulatory T cell,5
10,T cell (B cell type MALT lymphoma) | Lymphoid tissue | Human | CellMarker,0.6810253337,17,CellMarker,Human,Lymphoid tissue,T cell (B cell type MALT lymphoma),5
10,T cell (Follicular Lymphoma) | Lymph node | Human | CellMarker,0.6810253337,18,CellMarker,Human,Lymph node,T cell (Follicular Lymphoma),5
10,T cell (Melanoma) | Human | CellMarker,0.6810253337,19,CellMarker,Human,,T cell (Melanoma),5
10,T cell | Liver | Mouse | CellMarker,0.6810253337,20,CellMarker,Mouse,Liver,T cell,5
10,T cell | Lymphoid tissue | Human | CellMarker,0.6810253337,21,CellMarker,Human,Lymphoid tissue,T cell,5
10,T cell | Peripheral blood | Mouse | CellMarker,0.6810253337,22,CellMarker,Mouse,Peripheral blood,T cell,5
