celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
Lymphoid cell | Human | TISSUES,TISSUES,Human,,Lymphoid cell,520,14,2.73452551911488e-17,6.92518587715843e-15
Goblet cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Goblet cell,233,12,4.17712818791009e-17,9.76484043312214e-15
AIZARANI_LIVER_C3_NK_NKT_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C3_NK_NKT_CELLS_2,120,10,7.84605893879191e-17,1.70315522249919e-14
BLOOD DENDRITIC CELLS | ARCHS4,ARCHS4,,,BLOOD DENDRITIC CELLS,917,15,2.01248429412569e-15,4.07729317989865e-13
Leukocyte | Human | TISSUES,TISSUES,Human,,Leukocyte,724,14,3.09313904834665e-15,5.87503097995342e-13
MURARO_PANCREAS_ACINAR_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_ACINAR_CELL,558,13,5.48104215051873e-15,9.79816887966259e-13
Hematopoietic cell | Human | TISSUES,TISSUES,Human,,Hematopoietic cell,765,14,6.57706725043222e-15,1.11042818744797e-12
DENDRITIC CELL | ARCHS4,ARCHS4,,,DENDRITIC CELL,1112,15,3.39145995189497e-14,5.4245509441099e-12
CD34+ CELL | ARCHS4,ARCHS4,,,CD34+ CELL,1161,15,5.87404151344496e-14,8.92560607967961e-12
CORD BLOOD | ARCHS4,ARCHS4,,,CORD BLOOD,1190,15,8.30821025466173e-14,1.20057228069122e-11
BONE MARROW (BULK TISSUE) | ARCHS4,ARCHS4,,,BONE MARROW (BULK TISSUE),916,14,8.69121098229904e-14,1.20057228069122e-11
Schwalie et al.Nature.P1 | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Schwalie et al.Nature.P1,148,8,8.66958834804089e-12,1.14551647781288e-09
Lymphoid tissue | Human | TISSUES,TISSUES,Human,,Lymphoid tissue,1345,14,1.57682793632457e-11,1.99665837437098e-09
Immune system | Human | TISSUES,TISSUES,Human,,Immune system,1362,14,1.90313537231868e-11,2.31345135859058e-09
Blood | Human | TISSUES,TISSUES,Human,,Blood,1651,14,2.48322431272256e-10,2.90250718706303e-08
Leydig precursor cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Leydig precursor cell,168,7,8.7113131314718e-10,9.80506689131214e-08
KIDNEY (BULK TISSUE) | ARCHS4,ARCHS4,,,KIDNEY (BULK TISSUE),1442,12,1.4064281693595e-08,1.52647685952982e-06
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS,74,5,2.63060265653039e-08,2.75669016317098e-06
Schwalie et al.Nature.G4 | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Schwalie et al.Nature.G4,150,6,4.01830242565057e-08,4.07054035718403e-06
Mitotic fetal germ cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Mitotic fetal germ cell,487,8,6.69809604148072e-08,6.56629479679352e-06
Bone | Human | TISSUES,TISSUES,Human,,Bone,56,4,6.14860930610011e-07,5.83925740038695e-05
Naive CD4+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Naive CD4+ T cell,22,3,2.51306101611916e-06,0.000231430073575337
Basal cell | Trachea | Mouse | CellMarker,CellMarker,Mouse,Trachea,Basal cell,77,4,3.80609403136495e-06,0.000340197640038767
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR,92,4,4.54618264540404e-06,0.000394738544553797
AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS,97,4,5.61513978600608e-06,0.000474011383602013
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR,114,4,1.0669510574891e-05,0.000876341692894425
CD8+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,CD8+ T cell,5,2,1.47743974780753e-05,0.00115126651117618
Naive T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Naive T cell,5,2,1.47743974780753e-05,0.00115126651117618
Placenta | Human | TISSUES,TISSUES,Human,,Placenta,2237,11,1.83611923344368e-05,0.00139499158760883
TLYMPHOCYTE | ARCHS4,ARCHS4,,,TLYMPHOCYTE,700,7,2.01959514704996e-05,0.00149696332972801
Eosinophil | Peritoneal cavity | Mouse | CellMarker,CellMarker,Mouse,Peritoneal cavity,Eosinophil,5,2,2.21450700514548e-05,0.00160235399729455
Natural killer T (NKT) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Natural killer T (NKT) cell,7,2,3.0979979711884e-05,0.00216077411193299
CD3plus_T-cell | SaVanT,SaVanT,,,CD3plus_T-cell,50,3,3.12846531507244e-05,0.00216077411193299
CD8+ T-cells_HPCA_1 | Human | xCell,xCell,Human,,CD8+ T-cells_HPCA_1,8,2,4.12758394787578e-05,0.00255994441175398
CD8+ T-cells_IRIS_1 | Human | xCell,xCell,Human,,CD8+ T-cells_IRIS_1,8,2,4.12758394787578e-05,0.00255994441175398
CD8+ T-cells_IRIS_2 | Human | xCell,xCell,Human,,CD8+ T-cells_IRIS_2,8,2,4.12758394787578e-05,0.00255994441175398
CD8+ T-cells_NOVERSHTERN_2 | Human | xCell,xCell,Human,,CD8+ T-cells_NOVERSHTERN_2,8,2,4.12758394787578e-05,0.00255994441175398
CD8+ Tcm_HPCA_2 | Human | xCell,xCell,Human,,CD8+ Tcm_HPCA_2,8,2,4.12758394787578e-05,0.00255994441175398
Embryonic fibroblast | Mouse | TISSUES,TISSUES,Mouse,,Embryonic fibroblast,786,7,4.82679871991503e-05,0.00293372826196435
CD8+ T-cells_FANTOM_2 | Human | xCell,xCell,Human,,CD8+ T-cells_FANTOM_2,9,2,5.30293675700039e-05,0.00315992643225964
Fibroblast | Mouse | TISSUES,TISSUES,Mouse,,Fibroblast,816,7,6.19415403565571e-05,0.00362000656045341
CD8+ T-cells_IRIS_3 | Human | xCell,xCell,Human,,CD8+ T-cells_IRIS_3,14,2,0.000133547533554367,0.00765756517871172
CD8+ T-cells_BLUEPRINT_3 | Human | xCell,xCell,Human,,CD8+ T-cells_BLUEPRINT_3,15,2,0.00015397844442427,0.00835608022509565
CD8+ T-cells_HPCA_2 | Human | xCell,xCell,Human,,CD8+ T-cells_HPCA_2,15,2,0.00015397844442427,0.00835608022509565
CD8+ Tem_NOVERSHTERN_2 | Human | xCell,xCell,Human,,CD8+ Tem_NOVERSHTERN_2,14,2,0.00015397844442427,0.00835608022509565
Connective tissue | Mouse | TISSUES,TISSUES,Mouse,,Connective tissue,1710,9,0.00016064040086445,0.00856466979345728
CD8+ Tcm_HPCA_1 | Human | xCell,xCell,Human,,CD8+ Tcm_HPCA_1,17,2,0.000199141548227926,0.00992116664040439
CD8+ Tcm_NOVERSHTERN_2 | Human | xCell,xCell,Human,,CD8+ Tcm_NOVERSHTERN_2,17,2,0.000199141548227926,0.00992116664040439
CD8+ Tem_NOVERSHTERN_3 | Human | xCell,xCell,Human,,CD8+ Tem_NOVERSHTERN_3,16,2,0.000199141548227926,0.00992116664040439
T cell | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,T cell,14,2,0.000199141548227926,0.00992116664040439
CD8+ naive T-cells_HPCA_3 | Human | xCell,xCell,Human,,CD8+ naive T-cells_HPCA_3,19,2,0.000250018117531226,0.0118719540496468
CD8+ T-cells_HPCA_3 | Human | xCell,xCell,Human,,CD8+ T-cells_HPCA_3,18,2,0.000250018117531226,0.0118719540496468
CD8+ Tem_NOVERSHTERN_1 | Human | xCell,xCell,Human,,CD8+ Tem_NOVERSHTERN_1,18,2,0.000250018117531226,0.0118719540496468
CD8+ naive T-cells_HPCA_2 | Human | xCell,xCell,Human,,CD8+ naive T-cells_HPCA_2,20,2,0.000277590879514702,0.0129784412745412
Ovary | Human | TISSUES,TISSUES,Human,,Ovary,494,5,0.000296788752778963,0.0136657730256859
CD8+ T-cells_BLUEPRINT_1 | Human | xCell,xCell,Human,,CD8+ T-cells_BLUEPRINT_1,21,2,0.000306582331438293,0.0139060254513578
CD8+ T-cells_NOVERSHTERN_1 | Human | xCell,xCell,Human,,CD8+ T-cells_NOVERSHTERN_1,22,2,0.000336989258480511,0.0148421790800329
CD8+ Tcm_NOVERSHTERN_1 | Human | xCell,xCell,Human,,CD8+ Tcm_NOVERSHTERN_1,22,2,0.000336989258480511,0.0148421790800329
AIZARANI_LIVER_C1_NK_NKT_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C1_NK_NKT_CELLS_1,103,3,0.000346406469010692,0.015038989418907
Embryonic stem cell | Human | TISSUES,TISSUES,Human,,Embryonic stem cell,23,2,0.000368808450923232,0.0157860405965592
Granulosa cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Granulosa cell,131,3,0.000548199159160141,0.0222445241493083
CD8+ T-cells_FANTOM_3 | Human | xCell,xCell,Human,,CD8+ T-cells_FANTOM_3,28,2,0.000548976410397538,0.0222445241493083
CD8+ T-cells_NOVERSHTERN_3 | Human | xCell,xCell,Human,,CD8+ T-cells_NOVERSHTERN_3,28,2,0.000548976410397538,0.0222445241493083
CD8+ Tcm_BLUEPRINT_2 | Human | xCell,xCell,Human,,CD8+ Tcm_BLUEPRINT_2,28,2,0.000548976410397538,0.0222445241493083
Connective tissue | Human | TISSUES,TISSUES,Human,,Connective tissue,621,5,0.000826312639881765,0.0330416330605353
CD8+ T-cells_BLUEPRINT_2 | Human | xCell,xCell,Human,,CD8+ T-cells_BLUEPRINT_2,35,2,0.000859634060805145,0.0334926655229082
CD8+ T-cells_FANTOM_1 | Human | xCell,xCell,Human,,CD8+ T-cells_FANTOM_1,35,2,0.000859634060805145,0.0334926655229082
CD8+ naive T-cells_HPCA_1 | Human | xCell,xCell,Human,,CD8+ naive T-cells_HPCA_1,39,2,0.00106738417097033,0.0405472561947354
CD8+ Tcm_HPCA_3 | Human | xCell,xCell,Human,,CD8+ Tcm_HPCA_3,38,2,0.00106738417097033,0.0405472561947354
MIDBRAIN | ARCHS4,ARCHS4,,,MIDBRAIN,1406,7,0.00120281325930851,0.0412308286209889
CD8+ Tem_BLUEPRINT_3 | Human | xCell,xCell,Human,,CD8+ Tem_BLUEPRINT_3,42,2,0.00135761426068876,0.0412308286209889
HAY_BONE_MARROW_CD8_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_CD8_T_CELL,43,2,0.00141970147764388,0.0412308286209889
IMGN_DC_103+11b-_Salm3_SI | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_103+11b-_Salm3_SI,50,2,0.00175017337680407,0.0412308286209889
IMGN_DC_8-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_8-_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_DC_8+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_8+_Sp,50,2,0.00175017337680407,0.0412308286209889
IMGN_DC_8+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_8+_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_DC_pDC_8+_MLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8+_MLN,50,2,0.00175017337680407,0.0412308286209889
IMGN_DC_pDC_8+_SLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8+_SLN,50,2,0.00175017337680407,0.0412308286209889
IMGN_DC_pDC_8+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8+_Sp,50,2,0.00175017337680407,0.0412308286209889
IMGN_preT_DN3-4_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_DN3-4_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_4+8int_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4+8int_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_4int8+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4int8+_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_12hr_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_12hr_LisOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_24hr_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_24hr_LisOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_48hr_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_48hr_LisOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_d10_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d10_LisOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_d15_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_LisOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_d15_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_VSVOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_d5_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d5_VSVOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_LisOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_d6_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_VSVOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_d8_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_LisOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Eff_Sp_OT1_d8_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_VSVOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Mem_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_LN,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Mem_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Mem_Sp_OT1_d100_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d100_LisOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Mem_Sp_OT1_d106_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d106_VSVOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Mem_Sp_OT1_d45_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_LisOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Mem_Sp_OT1_d45_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_VSVOva,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Nve_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_LN,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Nve_MLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_MLN,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Nve_PP | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_PP,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Nve_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_Sp,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8Nve_Sp_OT1 | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_Sp_OT1,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8SP24-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP24-_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8SP24int_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP24int_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_8SP69+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP69+_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_DN4_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DN4_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_DP_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DP_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_DP69+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DP69+_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_DPbl_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DPbl_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_DPsm_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DPsm_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_T_ISP_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_ISP_Th,50,2,0.00175017337680407,0.0412308286209889
IMGN_Tgd_vg2+_Sp_TCRbko | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_Sp_TCRbko,50,2,0.00175017337680407,0.0412308286209889
lymph_nodes | SaVanT,SaVanT,,,lymph_nodes,50,2,0.00175017337680407,0.0412308286209889
T-cells_CD8+ | SaVanT,SaVanT,,,T-cells_CD8+,50,2,0.00175017337680407,0.0412308286209889
thymocyte_DP_CD4+CD8+ | SaVanT,SaVanT,,,thymocyte_DP_CD4+CD8+,50,2,0.00175017337680407,0.0412308286209889
thymocyte_SP_CD8+ | SaVanT,SaVanT,,,thymocyte_SP_CD8+,50,2,0.00175017337680407,0.0412308286209889
CD8plus_T-cell | SaVanT,SaVanT,,,CD8plus_T-cell,50,2,0.00182025336386399,0.041907196763505
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS,51,2,0.00182025336386399,0.041907196763505
HPCA_T_cells_CD8+ | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_CD8+,50,2,0.00182025336386399,0.041907196763505
B-lymphocyte cell line | Human | TISSUES,TISSUES,Human,,B-lymphocyte cell line,197,3,0.00183566106713353,0.0419441652858555
HBA_Thymus | Human | SaVanT,SaVanT,Human,,HBA_Thymus,50,2,0.00196437439874814,0.0445502522223551
HBA_CD8+_Tcells | Human | SaVanT,SaVanT,Human,,HBA_CD8+_Tcells,50,2,0.00211375647436287,0.0475830068562132
Pluripotent stem cell | Human | TISSUES,TISSUES,Human,,Pluripotent stem cell,54,2,0.00219041278067934,0.0489460620623861
Dendritic cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Dendritic cells,61,2,0.00259322553684253,0.0571073362787279
MANNO_MIDBRAIN_NEUROTYPES_BASAL | Human | MSigDB,MSigDB,Human,,MANNO_MIDBRAIN_NEUROTYPES_BASAL,61,2,0.00259322553684253,0.0571073362787279
MENON_FETAL_KIDNEY_10_IMMUNE_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_10_IMMUNE_CELLS,57,2,0.00267767315399495,0.0585427965107241
Gonadal mitotic phase fetal germ cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Gonadal mitotic phase fetal germ cell,222,3,0.00294510477242381,0.0639298100242568
Naive CD8+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Naive CD8+ T cell,68,2,0.00330470204311468,0.0712268759505356
T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T cells,70,2,0.00349530129955365,0.074804370770025
Embryonic structure | Mouse | TISSUES,TISSUES,Mouse,,Embryonic structure,1632,7,0.00368759748891835,0.0778236720057144
Organism form | Mouse | TISSUES,TISSUES,Mouse,,Organism form,1632,7,0.00368759748891835,0.0778236720057144
Muscle | Human | TISSUES,TISSUES,Human,,Muscle,915,5,0.0045407055268978,0.0951669248016719
Colon | Mouse | TISSUES,TISSUES,Mouse,,Colon,81,2,0.00485609948011952,0.0992430940189525
Colorectum | Mouse | TISSUES,TISSUES,Mouse,,Colorectum,81,2,0.00485609948011952,0.0992430940189525
Large intestine | Mouse | TISSUES,TISSUES,Mouse,,Large intestine,81,2,0.00485609948011952,0.0992430940189525
Leydig cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Leydig cell,277,3,0.00486581803515101,0.0992430940189525
Dendritic cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Dendritic cells,78,2,0.0049694186758873,0.100680422373477
Paneth cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Paneth cell,241,3,0.00531238907179372,0.106916227742921
CD8+ T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,CD8+ T cell,5,1,0.00623603153122065,0.117709936791177
T cell (B cell type MALT lymphoma) | Lymphoid tissue | Human | CellMarker,CellMarker,Human,Lymphoid tissue,T cell (B cell type MALT lymphoma),5,1,0.00623603153122065,0.117709936791177
T cell (Follicular Lymphoma) | Lymph node | Human | CellMarker,CellMarker,Human,Lymph node,T cell (Follicular Lymphoma),5,1,0.00623603153122065,0.117709936791177
T cell (Melanoma) | Human | CellMarker,CellMarker,Human,,T cell (Melanoma),5,1,0.00623603153122065,0.117709936791177
T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,T cell,5,1,0.00623603153122065,0.117709936791177
T cell | Lymphoid tissue | Human | CellMarker,CellMarker,Human,Lymphoid tissue,T cell,5,1,0.00623603153122065,0.117709936791177
T cell | Peripheral blood | Mouse | CellMarker,CellMarker,Mouse,Peripheral blood,T cell,5,1,0.00623603153122065,0.117709936791177
T cell | Peyer patch | Mouse | CellMarker,CellMarker,Mouse,Peyer patch,T cell,5,1,0.00623603153122065,0.117709936791177
T cell | Thymus | Mouse | CellMarker,CellMarker,Mouse,Thymus,T cell,5,1,0.00623603153122065,0.117709936791177
T cell | Thyroid | Human | CellMarker,CellMarker,Human,Thyroid,T cell,5,1,0.00623603153122065,0.117709936791177
CD8+ Tem_BLUEPRINT_2 | Human | xCell,xCell,Human,,CD8+ Tem_BLUEPRINT_2,97,2,0.00681399919416377,0.127825577475702
CD8+ Tcm_NOVERSHTERN_3 | Human | xCell,xCell,Human,,CD8+ Tcm_NOVERSHTERN_3,6,1,0.00747880882345398,0.136096407272315
Microglial cell | Human | CellMarker,CellMarker,Human,,Microglial cell,6,1,0.00747880882345398,0.136096407272315
T cell | Artery | Human | CellMarker,CellMarker,Human,Artery,T cell,6,1,0.00747880882345398,0.136096407272315
T cell | Liver | Mouse | CellMarker,CellMarker,Mouse,Liver,T cell,6,1,0.00747880882345398,0.136096407272315
T cell | Lung | Human | CellMarker,CellMarker,Human,Lung,T cell,6,1,0.00747880882345398,0.136096407272315
Muscular system | Human | TISSUES,TISSUES,Human,,Muscular system,1032,5,0.00761028870149339,0.137664686689514
CD8+ Tem_HPCA_2 | Human | xCell,xCell,Human,,CD8+ Tem_HPCA_2,107,2,0.00819145353615885,0.147300753233058
Intestine | Mouse | TISSUES,TISSUES,Mouse,,Intestine,109,2,0.00848082214031007,0.151431001850463
CD8+ T cell | Mouse | CellMarker,CellMarker,Mouse,,CD8+ T cell,7,1,0.00872011363074399,0.151431001850463
T cell (AIDS-related Non-hodgkin's Lymphoma) | Human | CellMarker,CellMarker,Human,,T cell (AIDS-related Non-hodgkin's Lymphoma),7,1,0.00872011363074399,0.151431001850463
T cell | Thymus | Human | CellMarker,CellMarker,Human,Thymus,T cell,7,1,0.00872011363074399,0.151431001850463
T cytotoxic cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T cytotoxic cells,7,1,0.00872011363074399,0.151431001850463
T cytotoxic cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T cytotoxic cells,7,1,0.00872011363074399,0.151431001850463
Liver | Mouse | TISSUES,TISSUES,Mouse,,Liver,2394,8,0.00889190157667399,0.153536868701774
CD8+ Tem_HPCA_1 | Human | xCell,xCell,Human,,CD8+ Tem_HPCA_1,118,2,0.00983926307095809,0.16893514391323
