celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
CD4+ memory T-cells_FANTOM_1 | Human | xCell,xCell,Human,,CD4+ memory T-cells_FANTOM_1,142,4,3.86374605623555e-05,0.00286388396704874
MA_iTreg_IL-2 | Human | SaVanT,SaVanT,Human,,MA_iTreg_IL-2,50,3,4.27410631423551e-05,0.00295204752021857
MA_Tresting | Human | SaVanT,SaVanT,Human,,MA_Tresting,50,3,4.27410631423551e-05,0.00295204752021857
MA_Tstim | Human | SaVanT,SaVanT,Human,,MA_Tstim,50,3,4.27410631423551e-05,0.00295204752021857
MA_Tmemory | Human | SaVanT,SaVanT,Human,,MA_Tmemory,50,3,4.53720465014543e-05,0.00299751411560695
MA_Treg | Human | SaVanT,SaVanT,Human,,MA_Treg,50,3,4.53720465014543e-05,0.00299751411560695
Bone | Human | TISSUES,TISSUES,Human,,Bone,56,3,6.01266731716252e-05,0.00388776510145892
Brain cortex cell line | Human | TISSUES,TISSUES,Human,,Brain cortex cell line,168,4,7.44456254504201e-05,0.00471333866132973
Brain cell line | Human | TISSUES,TISSUES,Human,,Brain cell line,169,4,7.61819317676906e-05,0.0047248345028982
Embryonic fibroblast | Mouse | TISSUES,TISSUES,Mouse,,Embryonic fibroblast,786,7,0.000100875655295636,0.00613122232886873
Fibroblast | Mouse | TISSUES,TISSUES,Mouse,,Fibroblast,816,7,0.000128931782358035,0.00768281738404055
ZHENG_CORD_BLOOD_C8_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_2 | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C8_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_2,68,3,0.000132885311715494,0.0077661242750651
T cell | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,T cell,14,2,0.000244238214831901,0.0140045270730971
AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS,97,3,0.000308369234024383,0.0173543352259278
Placenta | Human | TISSUES,TISSUES,Human,,Placenta,2237,10,0.000380507002873077,0.0210247414860233
Leydig cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Leydig cell,277,4,0.000534111477884533,0.0289850853801981
CD4+ naive T-cells_IRIS_3 | Human | xCell,xCell,Human,,CD4+ naive T-cells_IRIS_3,36,2,0.00111363635928623,0.0593744016819449
Pancreas | Human | TISSUES,TISSUES,Human,,Pancreas,598,5,0.00113367861053748,0.0594008499555757
Lymphoma cell | Human | TISSUES,TISSUES,Human,,Lymphoma cell,150,3,0.00123176744021318,0.0634464618780993
Connective tissue | Human | TISSUES,TISSUES,Human,,Connective tissue,621,5,0.00135089539383225,0.0684228516976035
Embryonic structure | Mouse | TISSUES,TISSUES,Mouse,,Embryonic structure,1632,8,0.00149498167908929,0.0732782148831027
Organism form | Mouse | TISSUES,TISSUES,Mouse,,Organism form,1632,8,0.00149498167908929,0.0732782148831027
B cell (Renal Cell Carcinoma) | Kidney | Human | CellMarker,CellMarker,Human,Kidney,B cell (Renal Cell Carcinoma),168,3,0.00157688331772245,0.0760658476596591
Connective tissue | Mouse | TISSUES,TISSUES,Mouse,,Connective tissue,1710,8,0.00213796115503255,0.0970814067547813
CD3plus_T-cell | SaVanT,SaVanT,,,CD3plus_T-cell,50,2,0.00214032716438643,0.0970814067547813
MA_iTreg | Human | SaVanT,SaVanT,Human,,MA_iTreg,50,2,0.00214032716438643,0.0970814067547813
MA_T_CD3+ | Human | SaVanT,SaVanT,Human,,MA_T_CD3+,50,2,0.00214032716438643,0.0970814067547813
CD4+ T-cells_FANTOM_3 | Human | xCell,xCell,Human,,CD4+ T-cells_FANTOM_3,50,2,0.002225835536545,0.0994752087582389
T-lymphocyte | Human | TISSUES,TISSUES,Human,,T-lymphocyte,210,3,0.0028785104770057,0.126779613617686
MENON_FETAL_KIDNEY_10_IMMUNE_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_10_IMMUNE_CELLS,57,2,0.00327116695845251,0.142015376953388
Gonadal mitotic phase fetal germ cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Gonadal mitotic phase fetal germ cell,222,3,0.00395136539603946,0.169129569557238
Naive CD8+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Naive CD8+ T cell,68,2,0.00403471668178912,0.170298666610516
Morula cell (Blastomere) | Embryo | Human | CellMarker,CellMarker,Human,Embryo,Morula cell (Blastomere),72,2,0.00438493907231045,0.182545614256869
Adenocarcinoma cell | Human | TISSUES,TISSUES,Human,,Adenocarcinoma cell,543,4,0.00609837677235258,0.24783283822635
Keratinocyte | Human | TISSUES,TISSUES,Human,,Keratinocyte,86,2,0.00619785972530523,0.24783283822635
Stratum spinosum | Human | TISSUES,TISSUES,Human,,Stratum spinosum,86,2,0.00619785972530523,0.24783283822635
MENON_FETAL_KIDNEY_5_PROXIMAL_TUBULE_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_5_PROXIMAL_TUBULE_CELLS,88,2,0.00648045400902133,0.2557675290054
CD4+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,CD4+ T cell,5,1,0.00689064186162491,0.268470007916386
B-cell lymphoma cell | Human | TISSUES,TISSUES,Human,,B-cell lymphoma cell,91,2,0.00706303348197932,0.269313358844828
Paneth cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Paneth cell,241,3,0.00708952573464502,0.269313358844828
Muscle | Human | TISSUES,TISSUES,Human,,Muscle,915,5,0.00718744540596847,0.269662303564669
Carcinoma cell | Human | TISSUES,TISSUES,Human,,Carcinoma cell,578,4,0.0075775084382888,0.277446363180237
Epithelioma cell | Human | TISSUES,TISSUES,Human,,Epithelioma cell,578,4,0.0075775084382888,0.277446363180237
CD4+ memory T-cells_FANTOM_3 | Human | xCell,xCell,Human,,CD4+ memory T-cells_FANTOM_3,98,2,0.00813769800479612,0.29441028853066
MIDBRAIN | ARCHS4,ARCHS4,,,MIDBRAIN,1406,6,0.0110209270261759,0.394030555677042
Oligodendrocyte | Brain | Human | CellMarker,CellMarker,Human,Brain,Oligodendrocyte,117,2,0.0113990504482394,0.402810631537204
Muscular system | Human | TISSUES,TISSUES,Human,,Muscular system,1032,5,0.0118901883889499,0.415336580620904
Integument | Human | TISSUES,TISSUES,Human,,Integument,1895,7,0.0123447117884761,0.426313399149759
Mast cell | Mouse | TISSUES,TISSUES,Mouse,,Mast cell,117,2,0.0135096567561984,0.461301650360529
Epidermal cell | Human | TISSUES,TISSUES,Human,,Epidermal cell,129,2,0.0137093913793307,0.462920448908735
CUI_DEVELOPING_HEART_C9_B_T_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C9_B_T_CELL,116,2,0.0139104205250626,0.464546900831485
Colon | Human | TISSUES,TISSUES,Human,,Colon,776,4,0.0211976300275585,0.700213017975548
Breast cancer cell | Human | TISSUES,TISSUES,Human,,Breast cancer cell,166,2,0.0217344589666915,0.701025365913191
Colorectum | Human | TISSUES,TISSUES,Human,,Colorectum,784,4,0.0219142513200899,0.701025365913191
Large intestine | Human | TISSUES,TISSUES,Human,,Large intestine,784,4,0.0219142513200899,0.701025365913191
B cell | Kidney | Human | CellMarker,CellMarker,Human,Kidney,B cell,450,3,0.023478607671453,0.743244674099434
REGULATORY T CELLS | ARCHS4,ARCHS4,,,REGULATORY T CELLS,1199,5,0.0242265557871013,0.759015495226814
Skin fibroblast | Human | TISSUES,TISSUES,Human,,Skin fibroblast,20,1,0.0272922857699841,0.846339351581446
CD4+ T-cells_BLUEPRINT_3 | Human | xCell,xCell,Human,,CD4+ T-cells_BLUEPRINT_3,21,1,0.0286381061678517,0.879103077213144
Type II spiral ganglion neuron | Brain | Mouse | CellMarker,CellMarker,Mouse,Brain,Type II spiral ganglion neuron,464,3,0.0295336467692461,0.884619059874054
Skin | Human | TISSUES,TISSUES,Human,,Skin,1280,5,0.0295841437895068,0.884619059874054
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS,22,1,0.0299821530658202,0.884619059874054
Early enterocyte precursor cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Early enterocyte precursor cell,18,1,0.0299821530658202,0.884619059874054
HU_FETAL_RETINA_BLOOD | Human | MSigDB,MSigDB,Human,,HU_FETAL_RETINA_BLOOD,199,2,0.0304263089759806,0.889091855557741
CD4+ T-cells_HPCA_2 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_2,23,1,0.0313244286842719,0.898065460108512
Embryonic stem cell | Human | TISSUES,TISSUES,Human,,Embryonic stem cell,23,1,0.0313244286842719,0.898065460108512
CD4+ T-cells_HPCA_3 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_3,24,1,0.0326649352409522,0.927745216796763
CD4+ T-cells_HPCA_1 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_1,25,1,0.034003674950979,0.956825631259492
CD4+ T-cells_BLUEPRINT_1 | Human | xCell,xCell,Human,,CD4+ T-cells_BLUEPRINT_1,26,1,0.0353406500268394,0.985323260840045
Uterus | Human | TISSUES,TISSUES,Human,,Uterus,1366,5,0.0366492805267383,1
Epidermis | Human | TISSUES,TISSUES,Human,,Epidermis,199,2,0.0368702185365818,1
CD8+ Tcm_BLUEPRINT_2 | Human | xCell,xCell,Human,,CD8+ Tcm_BLUEPRINT_2,28,1,0.038009315112894,1
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_B_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_B_CELLS,27,1,0.038009315112894,1
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES,27,1,0.038009315112894,1
Gastrointestinal tract | Human | TISSUES,TISSUES,Human,,Gastrointestinal tract,1392,5,0.0401311557382772,1
CD4+ naive T-cells_NOVERSHTERN_1 | Human | xCell,xCell,Human,,CD4+ naive T-cells_NOVERSHTERN_1,30,1,0.0406709481465793,1
Morula cell (Blastomere) | Embryo | Mouse | CellMarker,CellMarker,Mouse,Embryo,Morula cell (Blastomere),29,1,0.0433255667335007,1
Alimentary canal | Human | TISSUES,TISSUES,Human,,Alimentary canal,1433,5,0.0446002232978809,1
Pancreatic cancer cell line | Human | TISSUES,TISSUES,Human,,Pancreatic cancer cell line,32,1,0.0459731884374988,1
Pancreatic cell line | Human | TISSUES,TISSUES,Human,,Pancreatic cell line,32,1,0.0459731884374988,1
MENON_FETAL_KIDNEY_2_NEPHRON_PROGENITOR_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_2_NEPHRON_PROGENITOR_CELLS,35,1,0.0472943809357064,1
GMP_BLUEPRINT_3 | Human | xCell,xCell,Human,,GMP_BLUEPRINT_3,35,1,0.0486138307807464,1
