celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
Angiogenic T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Angiogenic T cell,5,2,4.75700763508187e-06,0.000329846556843864
CD4+ T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,CD4+ T cell,5,2,4.75700763508187e-06,0.000329846556843864
CD4+CD25+ regulatory T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,CD4+CD25+ regulatory T cell,5,2,4.75700763508187e-06,0.000329846556843864
CD8+ T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,CD8+ T cell,5,2,4.75700763508187e-06,0.000329846556843864
Immune cell (Ovarian Cancer) | Ovary | Human | CellMarker,CellMarker,Human,Ovary,Immune cell (Ovarian Cancer),5,2,4.75700763508187e-06,0.000329846556843864
Immune cell | Ovary | Human | CellMarker,CellMarker,Human,Ovary,Immune cell,5,2,4.75700763508187e-06,0.000329846556843864
Infiltrated mononuclear cell | Kidney | Human | CellMarker,CellMarker,Human,Kidney,Infiltrated mononuclear cell,5,2,4.75700763508187e-06,0.000329846556843864
Naive T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Naive T cell,5,2,4.75700763508187e-06,0.000329846556843864
Natural killer T (NKT) cell | Lymphoid tissue | Mouse | CellMarker,CellMarker,Mouse,Lymphoid tissue,Natural killer T (NKT) cell,5,2,4.75700763508187e-06,0.000329846556843864
Natural killer T (NKT) cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,Natural killer T (NKT) cell,5,2,4.75700763508187e-06,0.000329846556843864
Osteoclast precursor cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Osteoclast precursor cell,5,2,4.75700763508187e-06,0.000329846556843864
T cell (B cell type MALT lymphoma) | Lymphoid tissue | Human | CellMarker,CellMarker,Human,Lymphoid tissue,T cell (B cell type MALT lymphoma),5,2,4.75700763508187e-06,0.000329846556843864
T cell (Follicular Lymphoma) | Lymph node | Human | CellMarker,CellMarker,Human,Lymph node,T cell (Follicular Lymphoma),5,2,4.75700763508187e-06,0.000329846556843864
T cell (Melanoma) | Human | CellMarker,CellMarker,Human,,T cell (Melanoma),5,2,4.75700763508187e-06,0.000329846556843864
T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,T cell,5,2,4.75700763508187e-06,0.000329846556843864
T cell | Lymphoid tissue | Human | CellMarker,CellMarker,Human,Lymphoid tissue,T cell,5,2,4.75700763508187e-06,0.000329846556843864
T cell | Peripheral blood | Mouse | CellMarker,CellMarker,Mouse,Peripheral blood,T cell,5,2,4.75700763508187e-06,0.000329846556843864
T cell | Peyer patch | Mouse | CellMarker,CellMarker,Mouse,Peyer patch,T cell,5,2,4.75700763508187e-06,0.000329846556843864
T cell | Thymus | Mouse | CellMarker,CellMarker,Mouse,Thymus,T cell,5,2,4.75700763508187e-06,0.000329846556843864
T cell | Thyroid | Human | CellMarker,CellMarker,Human,Thyroid,T cell,5,2,4.75700763508187e-06,0.000329846556843864
CD3plus_T-cell | SaVanT,SaVanT,,,CD3plus_T-cell,50,3,5.42689300499941e-06,0.000329846556843864
IMGN_T_4Nve_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Nve_LN,50,3,5.42689300499941e-06,0.000329846556843864
IMGN_T_4SP24int_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4SP24int_Th,50,3,5.42689300499941e-06,0.000329846556843864
IMGN_T_8Nve_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_LN,50,3,5.42689300499941e-06,0.000329846556843864
IMGN_T_8Nve_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_Sp,50,3,5.42689300499941e-06,0.000329846556843864
IMGN_T_DP_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DP_Th,50,3,5.42689300499941e-06,0.000329846556843864
IMGN_T_DP69+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DP69+_Th,50,3,5.42689300499941e-06,0.000329846556843864
IMGN_T_DPsm_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DPsm_Th,50,3,5.42689300499941e-06,0.000329846556843864
IMGN_Tgd_vg2+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_Sp,50,3,5.42689300499941e-06,0.000329846556843864
MA_iTreg_IL-2 | Human | SaVanT,SaVanT,Human,,MA_iTreg_IL-2,50,3,5.42689300499941e-06,0.000329846556843864
MA_T_CD3+ | Human | SaVanT,SaVanT,Human,,MA_T_CD3+,50,3,5.42689300499941e-06,0.000329846556843864
MA_Tresting | Human | SaVanT,SaVanT,Human,,MA_Tresting,50,3,5.42689300499941e-06,0.000329846556843864
MA_Tstim | Human | SaVanT,SaVanT,Human,,MA_Tstim,50,3,5.42689300499941e-06,0.000329846556843864
thymocyte_SP_CD4+ | SaVanT,SaVanT,,,thymocyte_SP_CD4+,50,3,5.42689300499941e-06,0.000329846556843864
thymocyte_SP_CD8+ | SaVanT,SaVanT,,,thymocyte_SP_CD8+,50,3,5.42689300499941e-06,0.000329846556843864
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS,51,3,5.7637941801775e-06,0.000330521480791086
MA_Treg | Human | SaVanT,SaVanT,Human,,MA_Treg,50,3,5.7637941801775e-06,0.000330521480791086
CD4+ T CELL | ARCHS4,ARCHS4,,,CD4+ T CELL,1182,7,5.76427722340493e-06,0.000330521480791086
HBA_Thymus | Human | SaVanT,SaVanT,Human,,HBA_Thymus,50,3,6.47855443135401e-06,0.000333813815721334
CD4+CD25+ regulatory T cell | Lymphoid tissue | Mouse | CellMarker,CellMarker,Mouse,Lymphoid tissue,CD4+CD25+ regulatory T cell,6,2,7.13269406225425e-06,0.000333813815721334
CD4+CD25+ regulatory T cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,CD4+CD25+ regulatory T cell,6,2,7.13269406225425e-06,0.000333813815721334
Dendritic cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,Dendritic cell,6,2,7.13269406225425e-06,0.000333813815721334
Leukocyte | Blood | Human | CellMarker,CellMarker,Human,Blood,Leukocyte,6,2,7.13269406225425e-06,0.000333813815721334
Natural killer cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Natural killer cell,6,2,7.13269406225425e-06,0.000333813815721334
T cell | Artery | Human | CellMarker,CellMarker,Human,Artery,T cell,6,2,7.13269406225425e-06,0.000333813815721334
T cell | Liver | Mouse | CellMarker,CellMarker,Mouse,Liver,T cell,6,2,7.13269406225425e-06,0.000333813815721334
T cell | Lung | Human | CellMarker,CellMarker,Human,Lung,T cell,6,2,7.13269406225425e-06,0.000333813815721334
T cell | Lymph node | Human | CellMarker,CellMarker,Human,Lymph node,T cell,6,2,7.13269406225425e-06,0.000333813815721334
T helper1 (Th1) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,T helper1 (Th1) cell,6,2,7.13269406225425e-06,0.000333813815721334
HBA_CD4+_Tcells | Human | SaVanT,SaVanT,Human,,HBA_CD4+_Tcells,50,3,7.24965838684043e-06,0.000333813815721334
HBA_CD8+_Tcells | Human | SaVanT,SaVanT,Human,,HBA_CD8+_Tcells,50,3,7.24965838684043e-06,0.000333813815721334
CD8+ T cell | Mouse | CellMarker,CellMarker,Mouse,,CD8+ T cell,7,2,9.98182889825411e-06,0.000421316361413809
Natural killer T (NKT) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Natural killer T (NKT) cell,7,2,9.98182889825411e-06,0.000421316361413809
T cell (AIDS-related Non-hodgkin's Lymphoma) | Human | CellMarker,CellMarker,Human,,T cell (AIDS-related Non-hodgkin's Lymphoma),7,2,9.98182889825411e-06,0.000421316361413809
T cell | Lymphoid tissue | Mouse | CellMarker,CellMarker,Mouse,Lymphoid tissue,T cell,6,2,9.98182889825411e-06,0.000421316361413809
T cell | Thymus | Human | CellMarker,CellMarker,Human,Thymus,T cell,7,2,9.98182889825411e-06,0.000421316361413809
T helper9 (Th9) cell | Human | CellMarker,CellMarker,Human,,T helper9 (Th9) cell,7,2,9.98182889825411e-06,0.000421316361413809
Multiple pluripotent progenitor cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Multiple pluripotent progenitor cell,8,2,1.33038502218563e-05,0.000531978958213439
Myeloid progenitor cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Myeloid progenitor cell,8,2,1.33038502218563e-05,0.000531978958213439
T cell | Lung | Mouse | CellMarker,CellMarker,Mouse,Lung,T cell,8,2,1.33038502218563e-05,0.000531978958213439
T helper17 (Th17) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,T helper17 (Th17) cell,8,2,1.33038502218563e-05,0.000531978958213439
T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T cells,70,3,1.5694304189723e-05,0.000619415460163224
T cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T cells,69,3,1.63701871234045e-05,0.000633675845532504
CD8+ cytotoxic T cell | Human | CellMarker,CellMarker,Human,,CD8+ cytotoxic T cell,9,2,1.70981965559939e-05,0.000633675845532504
CD8+ T cell | Human | CellMarker,CellMarker,Human,,CD8+ T cell,9,2,1.70981965559939e-05,0.000633675845532504
Exhausted T cell | Human | CellMarker,CellMarker,Human,,Exhausted T cell,9,2,1.70981965559939e-05,0.000633675845532504
T cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,T cell,8,2,1.70981965559939e-05,0.000633675845532504
Hematopoietic cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Hematopoietic cell,10,2,2.13643068674847e-05,0.000772930102027213
T cell | Liver | Human | CellMarker,CellMarker,Human,Liver,T cell,10,2,2.13643068674847e-05,0.000772930102027213
Granulocyte | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,Granulocyte,8,2,2.61016205667588e-05,0.000922358429097443
T helper cell | Liver | Human | CellMarker,CellMarker,Human,Liver,T helper cell,11,2,2.61016205667588e-05,0.000922358429097443
MURARO_PANCREAS_ACINAR_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_ACINAR_CELL,558,5,2.76821893652296e-05,0.000966967511275091
Cytotoxic T cell | Mouse | CellMarker,CellMarker,Mouse,,Cytotoxic T cell,12,2,3.1309577507586e-05,0.00106909894433207
Natural killer cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Natural killer cell,12,2,3.1309577507586e-05,0.00106909894433207
Activated T cell | Human | CellMarker,CellMarker,Human,,Activated T cell,13,2,3.69876179868026e-05,0.00120865990389133
CD4+ T cell | Human | CellMarker,CellMarker,Human,,CD4+ T cell,13,2,3.69876179868026e-05,0.00120865990389133
Cytotoxic T cell | Human | CellMarker,CellMarker,Human,,Cytotoxic T cell,13,2,3.69876179868026e-05,0.00120865990389133
T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,T cell,13,2,3.69876179868026e-05,0.00120865990389133
Blood | Human | TISSUES,TISSUES,Human,,Blood,1651,7,4.27391292437267e-05,0.001365498128741
Follicular helper (Tfh) T cell | Human | CellMarker,CellMarker,Human,,Follicular helper (Tfh) T cell,14,2,4.31351827440393e-05,0.001365498128741
Mast cell | Human | CellMarker,CellMarker,Human,,Mast cell,14,2,4.31351827440393e-05,0.001365498128741
CD4+ T cell | Mouse | CellMarker,CellMarker,Mouse,,CD4+ T cell,16,2,5.68366502634345e-05,0.00176251612398548
Immune cell (Renal Clear Cell Carcinoma) | Human | CellMarker,CellMarker,Human,,Immune cell (Renal Clear Cell Carcinoma),15,2,5.68366502634345e-05,0.00176251612398548
AIZARANI_LIVER_C1_NK_NKT_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C1_NK_NKT_CELLS_1,103,3,6.1577445646758e-05,0.00189024098303533
Lymphocyte | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Lymphocyte,16,2,6.43894367163761e-05,0.00193742077406997
T cell | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,T cell,14,2,6.43894367163761e-05,0.00193742077406997
Regulatory T (Treg) cell | Mouse | CellMarker,CellMarker,Mouse,,Regulatory T (Treg) cell,23,2,0.00011949979894212,0.00356039106848141
T helper cell | Human | CellMarker,CellMarker,Human,,T helper cell,24,2,0.000130311944379474,0.00380786537470406
T helper17 (Th17) cell | Human | CellMarker,CellMarker,Human,,T helper17 (Th17) cell,24,2,0.000130311944379474,0.00380786537470406
Monocyte | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Monocyte,26,2,0.000153325885967938,0.00443768921387203
Lymphoid tissue | Human | TISSUES,TISSUES,Human,,Lymphoid tissue,1345,6,0.000161344215217723,0.00462570820798737
Immune system | Human | TISSUES,TISSUES,Human,,Immune system,1362,6,0.000174315633303466,0.00495088980943208
T helper cell | Mouse | CellMarker,CellMarker,Mouse,,T helper cell,29,2,0.000191312622201771,0.0053833246191776
CD4+ naive T-cells_NOVERSHTERN_1 | Human | xCell,xCell,Human,,CD4+ naive T-cells_NOVERSHTERN_1,30,2,0.000204896876263352,0.00571267529325071
Mesenchymal stromal cell | Human | CellMarker,CellMarker,Human,,Mesenchymal stromal cell,33,2,0.000248407939555223,0.00686283389371204
Regulatory T (Treg) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Regulatory T (Treg) cell,38,2,0.000330087687691461,0.0088311335230885
CD4+ naive T-cells_FANTOM_2 | Human | xCell,xCell,Human,,CD4+ naive T-cells_FANTOM_2,43,2,0.00042315960468464,0.0088311335230885
T cell | Mouse | CellMarker,CellMarker,Mouse,,T cell,44,2,0.000463562854385935,0.0088311335230885
CD4+ T-cells_BLUEPRINT_2 | Human | xCell,xCell,Human,,CD4+ T-cells_BLUEPRINT_2,46,2,0.000484442542030968,0.0088311335230885
Myeloid cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Myeloid cell,47,2,0.000505773544994132,0.0088311335230885
Megakaryocyte erythroid cell | Human | CellMarker,CellMarker,Human,,Megakaryocyte erythroid cell,48,2,0.000527555318908905,0.0088311335230885
CD4plus_T-cell | SaVanT,SaVanT,,,CD4plus_T-cell,50,2,0.00057246900429366,0.0088311335230885
HPCA_T_cells_CD4+ | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_CD4+,50,2,0.00057246900429366,0.0088311335230885
IMGN_NKT_4-_Lv | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_4-_Lv,50,2,0.00057246900429366,0.0088311335230885
IMGN_NKT_4-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_4-_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_NKT_4+_Lv | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_4+_Lv,50,2,0.00057246900429366,0.0088311335230885
IMGN_NKT_4+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_4+_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_NKT_44-NK1_1-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_44-NK1_1-_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_NKT_44+NK1_1-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_44+NK1_1-_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_NKT_44+NK1_1+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_44+NK1_1+_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_preT_DN3-4_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_DN3-4_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_preT_DN3A_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_DN3A_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_preT_DN3B_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_DN3B_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4_LN_BDC | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4_LN_BDC,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4_Pa_BDC | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4_Pa_BDC,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4_PLN_BDC | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4_PLN_BDC,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4+8int_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4+8int_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4FP3-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4FP3-_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4FP3+25+_AA | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4FP3+25+_AA,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4FP3+25+_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4FP3+25+_LN,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4FP3+25+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4FP3+25+_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4int8+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4int8+_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4Mem_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Mem_LN,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4Mem_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Mem_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4Mem44h62l_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Mem44h62l_LN,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4Mem44h62l_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Mem44h62l_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4Nve_MLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Nve_MLN,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4Nve_PP | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Nve_PP,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4Nve_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Nve_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4SP24-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4SP24-_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_4SP69+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4SP69+_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_12hr_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_12hr_LisOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_24hr_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_24hr_LisOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_d10_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d10_LisOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_d15_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_LisOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_d15_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_VSVOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_d5_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d5_VSVOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_LisOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_d6_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_VSVOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_d8_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_LisOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Eff_Sp_OT1_d8_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_VSVOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Mem_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_LN,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Mem_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Mem_Sp_OT1_d100_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d100_LisOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Mem_Sp_OT1_d106_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d106_VSVOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Mem_Sp_OT1_d45_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_LisOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Mem_Sp_OT1_d45_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_VSVOva,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Nve_MLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_MLN,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Nve_PP | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_PP,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8Nve_Sp_OT1 | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_Sp_OT1,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8SP24-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP24-_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8SP24int_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP24int_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_8SP69+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP69+_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_DN4_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DN4_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_T_ISP_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_ISP_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_vg1+vd6-24ahi_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6-24ahi_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_vg1+vd6-24alo_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6-24alo_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_vg1+vd6+24ahi_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6+24ahi_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_vg1+vd6+24alo_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6+24alo_Th,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_vg2-_act_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_act_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_vg2-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_Sp,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_vg2-_Sp_TCRbko | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_Sp_TCRbko,50,2,0.00057246900429366,0.0088311335230885
IMGN_Tgd_vg2+_act_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_act_Sp,50,2,0.00057246900429366,0.0088311335230885
