celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
Macrophages | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Macrophages,88,3,9.94743021160978e-05,0.00570381894586455
Blood | Human | TISSUES,TISSUES,Human,,Blood,1651,8,0.000120884116122898,0.00680308942402756
AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS,97,3,0.000132882011168671,0.00734233512621075
NEUTROPHIL | ARCHS4,ARCHS4,,,NEUTROPHIL,1228,7,0.000151227535638763,0.00820679430011071
Monocytes_HPCA_3 | Human | xCell,xCell,Human,,Monocytes_HPCA_3,102,3,0.00015425034101889,0.00822397870800714
Plasmacytoid dendritic cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,Plasmacytoid dendritic cell,100,3,0.000177741334349723,0.00931303301877257
Rheaume et al.Nat Commun.33 | Retina | Mouse | CellMarker,CellMarker,Mouse,Retina,Rheaume et al.Nat Commun.33,20,2,0.000215683952248154,0.0111095513708837
BONE MARROW (BULK TISSUE) | ARCHS4,ARCHS4,,,BONE MARROW (BULK TISSUE),916,6,0.000248876733538911,0.0126056065537459
Dendritic cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Dendritic cell,18,2,0.000282948627260362,0.0140964078400695
HAY_BONE_MARROW_NEUTROPHIL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NEUTROPHIL,323,4,0.000301285382089468,0.0147678431640305
Monocytes_IRIS_3 | Human | xCell,xCell,Human,,Monocytes_IRIS_3,27,2,0.000359174638815121,0.0173259004342723
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_B_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_B_CELLS,27,2,0.000386566048578311,0.0183558472129607
HAY_BONE_MARROW_DENDRITIC_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_DENDRITIC_CELL,143,3,0.000426158191072037,0.0199245345025834
HAY_BONE_MARROW_IMMATURE_NEUTROPHIL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_IMMATURE_NEUTROPHIL,148,3,0.000461742031390381,0.0212611217181116
B cell (Renal Cell Carcinoma) | Kidney | Human | CellMarker,CellMarker,Human,Kidney,B cell (Renal Cell Carcinoma),168,3,0.000691785130535975,0.0311509136859388
GRANULOCYTE | ARCHS4,ARCHS4,,,GRANULOCYTE,1103,6,0.00069702603838231,0.0311509136859388
MANNO_MIDBRAIN_NEUROTYPES_HMGL | Human | MSigDB,MSigDB,Human,,MANNO_MIDBRAIN_NEUROTYPES_HMGL,422,4,0.00082528415791676,0.0363483848682469
Macrophage | Brain | Human | CellMarker,CellMarker,Human,Brain,Macrophage,41,2,0.00087297720107493,0.036846912695371
Microglia | Brain | Human | PanglaoDB,PanglaoDB,Human,Brain,Microglia,42,2,0.00087297720107493,0.036846912695371
Microglia | Brain | Mouse | PanglaoDB,PanglaoDB,Mouse,Brain,Microglia,42,2,0.00087297720107493,0.036846912695371
Macrophage | Brain | Mouse | CellMarker,CellMarker,Mouse,Brain,Macrophage,42,2,0.000957983087370337,0.0379319306871409
IMGN_DC_103-11b+F4_80lo_Kd | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_103-11b+F4_80lo_Kd,50,2,0.00123595836800774,0.0379319306871409
IMGN_DC_103+11b-_Lu | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_103+11b-_Lu,50,2,0.00123595836800774,0.0379319306871409
IMGN_DC_103+11b-_Lv | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_103+11b-_Lv,50,2,0.00123595836800774,0.0379319306871409
IMGN_DC_103+11b-_SI | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_103+11b-_SI,50,2,0.00123595836800774,0.0379319306871409
IMGN_DC_8-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_8-_Th,50,2,0.00123595836800774,0.0379319306871409
IMGN_DC_8+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_8+_Sp,50,2,0.00123595836800774,0.0379319306871409
IMGN_DC_8+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_8+_Th,50,2,0.00123595836800774,0.0379319306871409
IMGN_GN_UrAc_PC | Mouse | SaVanT,SaVanT,Mouse,,IMGN_GN_UrAc_PC,50,2,0.00123595836800774,0.0379319306871409
IMGN_MF_103-11b+_SI | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_103-11b+_SI,50,2,0.00123595836800774,0.0379319306871409
IMGN_MF_Microglia_CNS | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_Microglia_CNS,50,2,0.00123595836800774,0.0379319306871409
IMGN_MF_RP_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_RP_Sp,50,2,0.00123595836800774,0.0379319306871409
IMGN_MF_Thio5_II-480hi_PC | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_Thio5_II-480hi_PC,50,2,0.00123595836800774,0.0379319306871409
IMGN_MF_Thio5_II-480int_PC | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_Thio5_II-480int_PC,50,2,0.00123595836800774,0.0379319306871409
IMGN_MF_Thio5_II+480int_PC | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_Thio5_II+480int_PC,50,2,0.00123595836800774,0.0379319306871409
IMGN_MF_Thio5_II+480lo_PC | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MF_Thio5_II+480lo_PC,50,2,0.00123595836800774,0.0379319306871409
IMGN_MLP_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MLP_BM,50,2,0.00123595836800774,0.0379319306871409
IMGN_Mo_6C-II-_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Mo_6C-II-_BM,50,2,0.00123595836800774,0.0379319306871409
IMGN_Mo_6C-II+_Bl | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Mo_6C-II+_Bl,50,2,0.00123595836800774,0.0379319306871409
IMGN_SC_LT34F_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_LT34F_BM,50,2,0.00123595836800774,0.0379319306871409
IMGN_SC_MPP34F_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_MPP34F_BM,50,2,0.00123595836800774,0.0379319306871409
IMGN_SC_ST34F_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_ST34F_BM,50,2,0.00123595836800774,0.0379319306871409
IMGN_SC_STSL_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_STSL_BM,50,2,0.00123595836800774,0.0379319306871409
MA_M_GMCSF_IFNg_12h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_IFNg_12h,50,2,0.00123595836800774,0.0379319306871409
MA_M_GMCSF_IL4_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_IL4_72h,50,2,0.00123595836800774,0.0379319306871409
macrophage_bone_marrow_24h_LPS | SaVanT,SaVanT,,,macrophage_bone_marrow_24h_LPS,50,2,0.00123595836800774,0.0379319306871409
TL2 | SaVanT,SaVanT,,,TL2,50,2,0.00123595836800774,0.0379319306871409
HPCA_M1_IFNg | Human | SaVanT,SaVanT,Human,,HPCA_M1_IFNg,50,2,0.00128561660440129,0.0379319306871409
MA_M_GMCSF_baseline_12h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_baseline_12h,50,2,0.00128561660440129,0.0379319306871409
MA_M_GMCSF_baseline_24h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_baseline_24h,50,2,0.00128561660440129,0.0379319306871409
MA_M_GMCSF_baseline_48h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_baseline_48h,50,2,0.00128561660440129,0.0379319306871409
HBA_WholeBlood | Human | SaVanT,SaVanT,Human,,HBA_WholeBlood,50,2,0.00138777032888972,0.040552250283614
ENL2 | SaVanT,SaVanT,,,ENL2,50,2,0.00144026222942519,0.0416853039545063
ZHENG_CORD_BLOOD_C5_SIMILAR_TO_HSC_C6_PUTATIVE_ALTERED_METABOLIC_STATE | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C5_SIMILAR_TO_HSC_C6_PUTATIVE_ALTERED_METABOLIC_STATE,56,2,0.001954818962856,0.0560442908313148
Immune system | Human | TISSUES,TISSUES,Human,,Immune system,1362,6,0.00202654974426628,0.0575578006806097
FAN_EMBRYONIC_CTX_BRAIN_B_CELL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_B_CELL,74,2,0.00313014326579162,0.0880787535624141
Oogenesis phase fetal germ cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Oogenesis phase fetal germ cell,622,4,0.00351189121359947,0.0973985007446528
Brush cell (Tuft cell) | Small intestine | Mouse | CellMarker,CellMarker,Mouse,Small intestine,Brush cell (Tuft cell),76,2,0.00352544754258368,0.0973985007446528
SPLEEN (BULK TISSUE) | ARCHS4,ARCHS4,,,SPLEEN (BULK TISSUE),1487,6,0.00375428862356131,0.102786334477503
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR,92,2,0.00411606348746035,0.111684972664214
CD34+ CELL | ARCHS4,ARCHS4,,,CD34+ CELL,1161,5,0.00589953776216288,0.158661019993035
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR,114,2,0.00624860237516479,0.166512171804738
Microglial cell | Human | CellMarker,CellMarker,Human,,Microglial cell,6,1,0.00630105289817207,0.166512171804738
cDC_HPCA_3 | Human | xCell,xCell,Human,,cDC_HPCA_3,7,1,0.00734760260549383,0.192494519983584
Melanocytes_FANTOM_2 | Human | xCell,xCell,Human,,Melanocytes_FANTOM_2,122,2,0.00758383891820246,0.196985354465105
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,114,2,0.00805523431921955,0.207456416068714
Monocyte | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,Monocyte,122,2,0.00829580772852283,0.211856804092276
Red pulp macrophages | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Red pulp macrophages,9,1,0.00943760279899275,0.237032024017677
Red pulp macrophages | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Red pulp macrophages,9,1,0.00943760279899275,0.237032024017677
Monocytes_BLUEPRINT_2 | Human | xCell,xCell,Human,,Monocytes_BLUEPRINT_2,10,1,0.0104810551892234,0.258958753821543
Monocytes_NOVERSHTERN_3 | Human | xCell,xCell,Human,,Monocytes_NOVERSHTERN_3,10,1,0.0104810551892234,0.258958753821543
Hematopoietic stem cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Hematopoietic stem cell,426,3,0.0109003875838611,0.26398996273134
Lymphoid tissue | Human | TISSUES,TISSUES,Human,,Lymphoid tissue,1345,5,0.0109220491167759,0.26398996273134
Melanocytes_FANTOM_3 | Human | xCell,xCell,Human,,Melanocytes_FANTOM_3,149,2,0.011014580510155,0.26398996273134
B cell | Kidney | Human | CellMarker,CellMarker,Human,Kidney,B cell,450,3,0.0110321570473446,0.26398996273134
Monocytes_NOVERSHTERN_2 | Human | xCell,xCell,Human,,Monocytes_NOVERSHTERN_2,11,1,0.0115234770431197,0.273592552609694
Monocytes_HPCA_1 | Human | xCell,xCell,Human,,Monocytes_HPCA_1,12,1,0.0125648693106711,0.296004944458369
B-lymphocyte cell line | Mouse | TISSUES,TISSUES,Mouse,,B-lymphocyte cell line,13,1,0.0136052329410568,0.310874457953921
Gastric adenocarcinoma cell line | Human | TISSUES,TISSUES,Human,,Gastric adenocarcinoma cell line,13,1,0.0136052329410568,0.310874457953921
Gastric cancer cell line | Human | TISSUES,TISSUES,Human,,Gastric cancer cell line,13,1,0.0136052329410568,0.310874457953921
Gastric cell line | Human | TISSUES,TISSUES,Human,,Gastric cell line,13,1,0.0136052329410568,0.310874457953921
Schwalie et al.Nature.G3 | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Schwalie et al.Nature.G3,156,2,0.0137692917159034,0.312275205407691
Alimentary canal | Human | TISSUES,TISSUES,Human,,Alimentary canal,1433,5,0.0142802951975647,0.321465311891846
Microglial cell | Brain | Human | CellMarker,CellMarker,Human,Brain,Microglial cell,14,1,0.01464456888264,0.324852882002503
Monocytes_IRIS_1 | Human | xCell,xCell,Human,,Monocytes_IRIS_1,14,1,0.01464456888264,0.324852882002503
PLASMACYTOID DENDRITIC CELL | ARCHS4,ARCHS4,,,PLASMACYTOID DENDRITIC CELL,1463,5,0.0153043224999867,0.337027797662751
Plasma cell | Human | TISSUES,TISSUES,Human,,Plasma cell,191,2,0.0176322721132494,0.385441146571084
Gastric adenocarcinoma cell | Human | TISSUES,TISSUES,Human,,Gastric adenocarcinoma cell,17,1,0.0177564200460519,0.385441146571084
Bone marrow cell | Human | TISSUES,TISSUES,Human,,Bone marrow cell,193,2,0.0179729119272254,0.385597925033862
B-lymphocyte cell line | Human | TISSUES,TISSUES,Human,,B-lymphocyte cell line,197,2,0.0181442919644101,0.385597925033862
Exhausted CD8+ T cell (Hepatocellular Cancer) | Liver | Human | CellMarker,CellMarker,Human,Liver,Exhausted CD8+ T cell (Hepatocellular Cancer),198,2,0.0181442919644101,0.385597925033862
DC_IRIS_2 | Human | xCell,xCell,Human,,DC_IRIS_2,19,1,0.0208590560735074,0.440212995884645
LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB,215,2,0.0217179461271976,0.443516212008105
Adenocarcinoma cell line | Human | TISSUES,TISSUES,Human,,Adenocarcinoma cell line,21,1,0.0218912246795708,0.443516212008105
Carcinoma cell line | Human | TISSUES,TISSUES,Human,,Carcinoma cell line,21,1,0.0218912246795708,0.443516212008105
Epithelial cell line | Human | TISSUES,TISSUES,Human,,Epithelial cell line,21,1,0.0218912246795708,0.443516212008105
Neutrophil | Kidney | Human | CellMarker,CellMarker,Human,Kidney,Neutrophil,21,1,0.0218912246795708,0.443516212008105
Urine | Human | TISSUES,TISSUES,Human,,Urine,20,1,0.0218912246795708,0.443516212008105
Cerebellum | Human | TISSUES,TISSUES,Human,,Cerebellum,579,3,0.0221513077863964,0.444861065325123
Metencephalon | Human | TISSUES,TISSUES,Human,,Metencephalon,580,3,0.0222503724677258,0.444861065325123
Hindbrain | Human | TISSUES,TISSUES,Human,,Hindbrain,587,3,0.0229508017938643,0.455865925827148
Macrophage | Human | TISSUES,TISSUES,Human,,Macrophage,21,1,0.0239525024395982,0.472673083856747
Tonsil | Human | TISSUES,TISSUES,Human,,Tonsil,24,1,0.0249816134749173,0.487859435996096
Thalamus | Human | TISSUES,TISSUES,Human,,Thalamus,237,2,0.0251656525501106,0.487859435996096
ILEUM (BULK) | ARCHS4,ARCHS4,,,ILEUM (BULK),1586,5,0.0252036628665308,0.487859435996096
Gastric cancer cell | Human | TISSUES,TISSUES,Human,,Gastric cancer cell,27,1,0.0280628464733053,0.53976576223022
Brain stem | Human | TISSUES,TISSUES,Human,,Brain stem,641,3,0.029110004355622,0.548119639126003
Kupffer cells | Liver | Mouse | PanglaoDB,PanglaoDB,Mouse,Liver,Kupffer cells,30,1,0.0311349489969543,0.548119639126003
MURARO_PANCREAS_EPSILON_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_EPSILON_CELL,31,1,0.0331779573354384,0.548119639126003
Kupffer cells | Liver | Human | PanglaoDB,PanglaoDB,Human,Liver,Kupffer cells,33,1,0.034197946303039,0.548119639126003
Paneth cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Paneth cell,241,2,0.0365102199600988,0.548119639126003
Enteroendocrine precursor cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Enteroendocrine precursor cell,258,2,0.0372028086345321,0.548119639126003
Lymphoid tissue | Mouse | TISSUES,TISSUES,Mouse,,Lymphoid tissue,2390,6,0.0393041162534985,0.548119639126003
Hematopoietic system | Mouse | TISSUES,TISSUES,Mouse,,Hematopoietic system,2402,6,0.0401195000772991,0.548119639126003
MPP_FANTOM_2 | Human | xCell,xCell,Human,,MPP_FANTOM_2,39,1,0.0402967259669231,0.548119639126003
Immune system | Mouse | TISSUES,TISSUES,Mouse,,Immune system,2414,6,0.0410851813347973,0.548119639126003
Macrophage (Glioma) | Brain | Human | CellMarker,CellMarker,Human,Brain,Macrophage (Glioma),39,1,0.0413096722288487,0.548119639126003
Macrophages_FANTOM_3 | Human | xCell,xCell,Human,,Macrophages_FANTOM_3,40,1,0.0413096722288487,0.548119639126003
Neutrophils | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Neutrophils,40,1,0.0413096722288487,0.548119639126003
Diencephalon | Human | TISSUES,TISSUES,Human,,Diencephalon,317,2,0.0429267245582773,0.548119639126003
Monocytes | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Monocytes,41,1,0.0433325585152393,0.548119639126003
T-lymphocyte | Mouse | TISSUES,TISSUES,Mouse,,T-lymphocyte,41,1,0.044342500390652,0.548119639126003
Th17 | SaVanT,SaVanT,,,Th17,37,1,0.044342500390652,0.548119639126003
Esophagus | Human | TISSUES,TISSUES,Human,,Esophagus,46,1,0.0473663320347852,0.548119639126003
Neuron | Brain | Mouse | CellMarker,CellMarker,Mouse,Brain,Neuron,44,1,0.0473663320347852,0.548119639126003
Prostate gland | Human | TISSUES,TISSUES,Human,,Prostate gland,330,2,0.047681187125284,0.548119639126003
Prostate gland epithelium | Human | TISSUES,TISSUES,Human,,Prostate gland epithelium,330,2,0.047681187125284,0.548119639126003
Neutrophils | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Neutrophils,47,1,0.0483722809977901,0.548119639126003
Mucosal-associated invariant T cell (Hepatocellular Cancer) | Liver | Human | CellMarker,CellMarker,Human,Liver,Mucosal-associated invariant T cell (Hepatocellular Cancer),48,1,0.0493772340374596,0.548119639126003
